学校名,类型,省,市,区县
北京第二实验小学,小学,北京市,北京市,西城区
北京小学,小学,北京市,北京市,西城区
史家小学,小学,北京市,北京市,东城区
建华实验学校,小学,北京市,北京市,海淀区
平房中心小学,小学,北京市,北京市,朝阳区
中关村第三小学南校区,小学,北京市,北京市,海淀区
史各庄中心小学,小学,北京市,北京市,昌平区
北京延庆第二小学,小学,北京市,北京市,延庆区
北京市西城区厂桥小学,小学,北京市,北京市,西城区
中关村第一小学,小学,北京市,北京市,海淀区
北京延庆第三小学,小学,北京市,北京市,延庆区
崇文小学,小学,北京市,北京市,东城区
流村中心小学,小学,北京市,北京市,昌平区
阎仙垡完全小学,小学,北京市,北京市,房山区
北京大学附属小学,小学,北京市,北京市,海淀区
旧县中心小学,小学,北京市,北京市,延庆区
北京地坛小学,小学,北京市,北京市,东城区
奋斗小学,小学,北京市,北京市,西城区
北京市延庆区第四小学,小学,北京市,北京市,延庆区
空港小学,小学,北京市,北京市,顺义区
北京市海淀区五一小学,小学,北京市,北京市,海淀区
北京小学广外校区,小学,北京市,北京市,西城区
中古友谊小学,小学,北京市,北京市,西城区
怀柔区第二小学,小学,北京市,北京市,怀柔区
亦庄第二中心小学,小学,北京市,北京市,大兴区
人大附中实验小学,小学,北京市,北京市,海淀区
东高地第一小学,小学,北京市,北京市,丰台区
北京华德中杉学校,小学,北京市,北京市,石景山区
黄土岗小学,小学,北京市,北京市,丰台区
房山长育中心小学,小学,北京市,北京市,房山区
史家小学分校,小学,北京市,北京市,东城区
中国人民大学附属小学银燕校区,小学,北京市,北京市,海淀区
培新小学,小学,北京市,北京市,东城区
东风小学,小学,北京市,北京市,房山区
中关村第一小学天秀分校,小学,北京市,北京市,海淀区
花家地实验小学,小学,北京市,北京市,朝阳区
前进小学,小学,北京市,北京市,海淀区
大兴区黄村镇狼各庄民族小学,小学,北京市,北京市,大兴区
天通苑小学,小学,北京市,北京市,昌平区
北京市史家小学通州分校,小学,北京市,北京市,通州区
北京雷锋小学,小学,北京市,北京市,西城区
东高地第四小学,小学,北京市,北京市,丰台区
育民小学北校区,小学,北京市,北京市,西城区
北京八中京西附属小学,小学,北京市,北京市,门头沟区
白家庄小学(本校北部),小学,北京市,北京市,朝阳区
北京市房山区良乡小学,小学,北京市,北京市,房山区
清华大学附属小学,小学,北京市,北京市,海淀区
北京市丰台区丰台第一小学,小学,北京市,北京市,丰台区
北京第一实验小学,小学,北京市,北京市,西城区
东方德才学校甜水园校区,小学,北京市,北京市,朝阳区
大峪第二小学,小学,北京市,北京市,门头沟区
北京市海淀区翠微小学,小学,北京市,北京市,海淀区
北京石油学院附属小学,小学,北京市,北京市,海淀区
白家庄小学,小学,北京市,北京市,朝阳区
展览路第一小学,小学,北京市,北京市,西城区
北京市海淀区民族小学,小学,北京市,北京市,海淀区
中关村第二小学(中关村校区),小学,北京市,北京市,海淀区
运河小学,小学,北京市,北京市,通州区
北京市东四十四条小学,小学,北京市,北京市,东城区
大峪第一小学,小学,北京市,北京市,门头沟区
黄城根小学,小学,北京市,北京市,西城区
翠微小学东校区,小学,北京市,北京市,海淀区
南尚乐中心校下滩明德小学,小学,北京市,北京市,房山区
星火小学,小学,北京市,北京市,海淀区
黑山小学,小学,北京市,北京市,门头沟区
中关村第二小学华清分校,小学,北京市,北京市,海淀区
芳草地国际学校日坛校区,小学,北京市,北京市,朝阳区
顺义区光明小学,小学,北京市,北京市,顺义区
万泉小学,小学,北京市,北京市,海淀区
府学小学,小学,北京市,北京市,东城区
北京进步小学,小学,北京市,北京市,西城区
方家胡同小学,小学,北京市,北京市,东城区
东高地第三小学,小学,北京市,北京市,丰台区
亦庄镇第一中心小学,小学,北京市,北京市,大兴区
体育馆路小学,小学,北京市,北京市,东城区
石园小学,小学,北京市,北京市,顺义区
北京丰台第五小学科丰校区,小学,北京市,北京市,丰台区
双榆树中心小学,小学,北京市,北京市,海淀区
和平里第九小学,小学,北京市,北京市,东城区
顺城街第一小学,小学,北京市,北京市,西城区
宝华里小学,小学,北京市,北京市,东城区
海淀区七一小学,小学,北京市,北京市,海淀区
东城区板厂小学,小学,北京市,北京市,东城区
怀柔区第一小学,小学,北京市,北京市,怀柔区
密云第二小学,小学,北京市,北京市,密云区
北京朝阳外语小学,小学,北京市,北京市,朝阳区
新鲜胡同小学,小学,北京市,北京市,东城区
育园小学,小学,北京市,北京市,门头沟区
通州区张家湾镇中心小学,小学,北京市,北京市,通州区
西城区三里河第三小学,小学,北京市,北京市,西城区
石景山外语实验小学,小学,北京市,北京市,石景山区
北京市丰台区师范学校附属小学,小学,北京市,北京市,丰台区
北京市东城区分司厅小学,小学,北京市,北京市,东城区
青年湖小学,小学,北京市,北京市,西城区
石景山区实验小学,小学,北京市,北京市,石景山区
阳春小学,小学,北京市,北京市,丰台区
北京光明小学,小学,北京市,北京市,东城区
马各庄小学,小学,北京市,北京市,房山区
十八里店小学,小学,北京市,北京市,朝阳区
芳草地国际学校远洋小学,小学,北京市,北京市,朝阳区
东交民巷小学,小学,北京市,北京市,东城区
中国农业大学附属小学,小学,北京市,北京市,海淀区
北京市海淀区苏家坨中心小学,小学,北京市,北京市,海淀区
白家庄小学南校区,小学,北京市,北京市,朝阳区
成寿寺小学,小学,北京市,北京市,丰台区
北京明远教育书院实验小学,小学,北京市,北京市,朝阳区
东小口中心小学,小学,北京市,北京市,昌平区
四合庄小学,小学,北京市,北京市,丰台区
定慧里小学,小学,北京市,北京市,海淀区
海淀区实验小学(西三环校区),小学,北京市,北京市,海淀区
北京力学小学,小学,北京市,北京市,西城区
灯市口小学,小学,北京市,北京市,东城区
东四九条小学,小学,北京市,北京市,东城区
东城区回民小学,小学,北京市,北京市,东城区
北京丰台五小京铁校区,小学,北京市,北京市,丰台区
中南海爱心小学,小学,北京市,北京市,平谷区
昌平回龙观第二小学,小学,北京市,北京市,昌平区
昌平区城关小学,小学,北京市,北京市,昌平区
房山区良乡中心小学,小学,北京市,北京市,房山区
北京市海淀区实验小学丰台分校,小学,北京市,北京市,丰台区
北京外国语大学附属小学,小学,北京市,北京市,海淀区
小汤山中心小学,小学,北京市,北京市,昌平区
丰台第一小学丰益分校,小学,北京市,北京市,丰台区
双榆树第一小学,小学,北京市,北京市,海淀区
北京林业大学附属小学,小学,北京市,北京市,海淀区
西中街小学(高部),小学,北京市,北京市,东城区
北京市丰台区分钟寺小学,小学,北京市,北京市,丰台区
新发地小学,小学,北京市,北京市,丰台区
复兴门外第一小学低部,小学,北京市,北京市,西城区
范庄小学,小学,北京市,北京市,通州区
北京市海淀区太平路小学采石路校区,小学,北京市,北京市,海淀区
东马坊小学,小学,北京市,北京市,海淀区
海淀区六一小学,小学,北京市,北京市,海淀区
北京小学大兴分校,小学,北京市,北京市,大兴区
南邵中心小学,小学,北京市,北京市,昌平区
北京市海淀区五一小学晋元庄分校,小学,北京市,北京市,海淀区
北京通州玉桥小学,小学,北京市,北京市,通州区
北京理工大学附属小学,小学,北京市,北京市,海淀区
良乡第二小学,小学,北京市,北京市,房山区
北京小学丰台万年花城分校,小学,北京市,北京市,丰台区
东高地第二小学,小学,北京市,北京市,丰台区
北京市丰台区芳群园第一小学,小学,北京市,北京市,丰台区
和平里第三小学,小学,北京市,北京市,东城区
北京小学天宁寺分校,小学,北京市,北京市,西城区
草桥小学,小学,北京市,北京市,丰台区
北京小学翡翠城分校,小学,北京市,北京市,大兴区
马坡小学,小学,北京市,北京市,顺义区
北京市西城区五路通小学,小学,北京市,北京市,西城区
府学胡同小学美术馆后街校区,小学,北京市,北京市,东城区
中关村第四小学,小学,北京市,北京市,海淀区
夏村小学,小学,北京市,北京市,房山区
朝阳师范学校附属小学,小学,北京市,北京市,朝阳区
和平里第一小学,小学,北京市,北京市,东城区
芳草地国际学校双花园校区,小学,北京市,北京市,朝阳区
东北旺中心小学,小学,北京市,北京市,海淀区
雍和宫小学,小学,北京市,北京市,东城区
北京市房山区良乡行宫园学校,小学,北京市,北京市,房山区
中央工艺美院附中艺美小学,小学,北京市,北京市,东城区
九一小学,小学,北京市,北京市,海淀区
周口店中心小学,小学,北京市,北京市,房山区
北京市昌平第二实验小学西校区,小学,北京市,北京市,昌平区
北京精诚实验小学,小学,北京市,北京市,朝阳区
北京市通州区台湖镇中心小学,小学,北京市,北京市,通州区
时光小学,小学,北京市,北京市,丰台区
城南中心小学,小学,北京市,北京市,昌平区
台上小学,小学,北京市,北京市,密云区
北京科技大学附属小学,小学,北京市,北京市,海淀区
李桥中心小学,小学,北京市,北京市,顺义区
博文学校,小学,北京市,北京市,朝阳区
北京市石景山区银河小学,小学,北京市,北京市,石景山区
北京育英学校小学部,小学,北京市,北京市,海淀区
芳草地国际学校世纪小学,小学,北京市,北京市,朝阳区
芦村完全小学,小学,北京市,北京市,房山区
清河第四小学,小学,北京市,北京市,海淀区
北京第一师范学校附属小学东校区,小学,北京市,北京市,东城区
焦王庄小学,小学,北京市,北京市,通州区
永丰中心小学六里屯校区,小学,北京市,北京市,海淀区
呼家楼中心小学(本部),小学,北京市,北京市,朝阳区
海淀区和平小学,小学,北京市,北京市,海淀区
崇文小学新景校区,小学,北京市,北京市,东城区
北京石油学院附属实验小学,小学,北京市,北京市,海淀区
西玉河小学,小学,北京市,北京市,海淀区
玉林小学,小学,北京市,北京市,丰台区
东铁匠营第一小学,小学,北京市,北京市,丰台区
北京交通大学附属小学,小学,北京市,北京市,海淀区
北京市海淀区香山小学,小学,北京市,北京市,海淀区
大兴区旧宫镇第一中心小学,小学,北京市,北京市,大兴区
后南仓小学,小学,北京市,北京市,通州区
巩华中心小学,小学,北京市,北京市,昌平区
团河小学,小学,北京市,北京市,大兴区
中国农业科学院附属中学,小学,北京市,北京市,海淀区
丰台第二小学,小学,北京市,北京市,丰台区
长辛店中心小学,小学,北京市,北京市,丰台区
北京市东城区安外三条小学,小学,北京市,北京市,东城区
垂杨柳中心小学杨柳校区(高部),小学,北京市,北京市,朝阳区
师范学校附属小学城南校区,小学,北京市,北京市,丰台区
平谷区第三小学,小学,北京市,北京市,平谷区
晓月苑小学,小学,北京市,北京市,丰台区
史家七条小学,小学,北京市,北京市,东城区
西单小学,小学,北京市,北京市,西城区
苹果园第二小学,小学,北京市,北京市,石景山区
北京医科大学附属小学花园路校区,小学,北京市,北京市,海淀区
北京和平里第四小学,小学,北京市,北京市,东城区
二毛学校,小学,北京市,北京市,昌平区
北京师范大学实验小学,小学,北京市,北京市,海淀区
潭柘寺中心小学,小学,北京市,北京市,门头沟区
北京市朝阳区黑庄户中心小学,小学,北京市,北京市,朝阳区
海淀区第二实验小学橡树校区,小学,北京市,北京市,海淀区
漷县镇中心小学,小学,北京市,北京市,通州区
北京耀中国际学校,小学,北京市,北京市,朝阳区
西罗园小学,小学,北京市,北京市,丰台区
星河双语学校,小学,北京市,北京市,朝阳区
羊坊店中心小学,小学,北京市,北京市,海淀区
北京市丰台区芳星园第二小学,小学,北京市,北京市,丰台区
北京第一师范学校附属小学西校区,小学,北京市,北京市,东城区
新世纪实验小学,小学,北京市,北京市,西城区
北京市石景山区实验小学分校,小学,北京市,北京市,石景山区
新升小学,小学,北京市,北京市,朝阳区
海淀区第二实验小学(清宁校区),小学,北京市,北京市,海淀区
北京市丰台区丰台第五小学,小学,北京市,北京市,丰台区
中国科学院附属实验学校,小学,北京市,北京市,朝阳区
北京市东城区黑芝麻胡同小学(前鼓楼苑胡同),小学,北京市,北京市,东城区
前锋学校(小学部),小学,北京市,北京市,昌平区
百善学校,小学,北京市,北京市,昌平区
北京市大兴区星星学校,小学,北京市,北京市,大兴区
万泉小学曙光分校,小学,北京市,北京市,海淀区
花家地实验小学朝来校区,小学,北京市,北京市,朝阳区
前门小学,小学,北京市,北京市,东城区
北京市宣武回民小学西里一校区,小学,北京市,北京市,西城区
上庄中心小学,小学,北京市,北京市,海淀区
北京市丰台区看丹小学,小学,北京市,北京市,丰台区
北京师范大学京师附小,小学,北京市,北京市,西城区
王各庄小学,小学,北京市,北京市,平谷区
通州区张湾镇民族小学,小学,北京市,北京市,通州区
府学胡同小学低年级部,小学,北京市,北京市,东城区
中央商务区实验学校,小学,北京市,北京市,朝阳区
清华附中朝阳学校小学部,小学,北京市,北京市,朝阳区
丰台区长辛店第一小学,小学,北京市,北京市,丰台区
北京市海淀区培英小学,小学,北京市,北京市,海淀区
西罗园第六小学,小学,北京市,北京市,丰台区
霍营中心小学,小学,北京市,北京市,昌平区
西马金润小学,小学,北京市,北京市,丰台区
北京师范大学朝阳附属小学,小学,北京市,北京市,朝阳区
三义里小学,小学,北京市,北京市,西城区
西集镇中心小学,小学,北京市,北京市,通州区
北京第八中学附属小学,小学,北京市,北京市,西城区
回民实验小学,小学,北京市,北京市,东城区
陶氏私立两等小学堂,小学,北京市,北京市,东城区
北京市海淀区八里庄小学,小学,北京市,北京市,海淀区
北京市西城区阜成门外第一小学,小学,北京市,北京市,西城区
西马庄小学,小学,北京市,北京市,通州区
北京第一实验小学前门分校,小学,北京市,北京市,西城区
北京市房山区城关小学,小学,北京市,北京市,房山区
后沙峪中心小学,小学,北京市,北京市,顺义区
北京市朝阳外国语学校(卧龙花园别墅东北),小学,北京市,北京市,朝阳区
北京师范大学大兴附属小学,小学,北京市,北京市,大兴区
大稿新村小学,小学,北京市,北京市,通州区
高丽营第二小学,小学,北京市,北京市,顺义区
美术馆后街小学,小学,北京市,北京市,东城区
垂杨柳中心小学杨柳校区中部,小学,北京市,北京市,朝阳区
蒲黄榆第一小学,小学,北京市,北京市,丰台区
北京景泰小学,小学,北京市,北京市,东城区
史家实验学校,小学,北京市,北京市,东城区
康乐里小学彩虹校区,小学,北京市,北京市,西城区
北京小学广内分校,小学,北京市,北京市,西城区
宏庙小学,小学,北京市,北京市,西城区
史家小学(史家胡同分校),小学,北京市,北京市,东城区
平安希望小学,小学,北京市,北京市,房山区
北京市昌平区北七家中心小学,小学,北京市,北京市,昌平区
大兴一小,小学,北京市,北京市,大兴区
太平路小学分校,小学,北京市,北京市,海淀区
光明小学(福光路),小学,北京市,北京市,东城区
东方小学高年级部(中仓路),小学,北京市,北京市,通州区
天竺中心小学,小学,北京市,北京市,顺义区
金地实验学校,小学,北京市,北京市,朝阳区
陶然亭小学,小学,北京市,北京市,西城区
北京光明小学广渠校区,小学,北京市,北京市,东城区
双馨实验学校,小学,北京市,北京市,朝阳区
怀柔三小,小学,北京市,北京市,怀柔区
北京市西城区康乐里小学,小学,北京市,北京市,西城区
北京市海淀区学院路小学,小学,北京市,北京市,海淀区
香厂路小学,小学,北京市,北京市,西城区
渠头小学,小学,北京市,北京市,通州区
西黄村小学,小学,北京市,北京市,石景山区
平谷区第二小学,小学,北京市,北京市,平谷区
呼家楼中心小学万科青青分校,小学,北京市,北京市,朝阳区
首都师范大学实验小学,小学,北京市,北京市,海淀区
人大附小亮甲西校,小学,北京市,北京市,海淀区
西罗园第五小学总校,小学,北京市,北京市,丰台区
北京育翔小学,小学,北京市,北京市,西城区
昌平区七里渠中心小学,小学,北京市,北京市,昌平区
华嘉小学,小学,北京市,北京市,西城区
海淀区第三实验小学,小学,北京市,北京市,海淀区
芍药居小学,小学,北京市,北京市,朝阳区
芳古园小学,小学,北京市,北京市,丰台区
对外经济贸易大学附属小学,小学,北京市,北京市,朝阳区
北京第二实验小学怡海分校,小学,北京市,北京市,丰台区
北京市海淀区图强第二小学,小学,北京市,北京市,海淀区
枫丹实验小学,小学,北京市,北京市,海淀区
永丰中心小学屯佃校区,小学,北京市,北京市,海淀区
北航实验学校小学部,小学,北京市,北京市,海淀区
展览路第一小学低年级部,小学,北京市,北京市,西城区
校尉小学,小学,北京市,北京市,东城区
北京市自忠小学,小学,北京市,北京市,西城区
海淀区上地实验小学,小学,北京市,北京市,海淀区
黄城根小学(官园校区),小学,北京市,北京市,西城区
育鹰小学(安宁庄路5号院西北),小学,北京市,北京市,海淀区
八一小学,小学,北京市,北京市,海淀区
三里河第三小学低年级部,小学,北京市,北京市,西城区
丰台第八小学,小学,北京市,北京市,丰台区
北京第二实验小学通州分校,小学,北京市,北京市,通州区
史家小学遂安伯校区,小学,北京市,北京市,东城区
培新小学(永生校区),小学,北京市,北京市,东城区
承延楼,小学,北京市,北京市,朝阳区
汇文第一小学(北区),小学,北京市,北京市,东城区
怀柔区桥梓镇中心小学,小学,北京市,北京市,怀柔区
密云第一小学,小学,北京市,北京市,密云区
北京市宏庙小学低年级部,小学,北京市,北京市,西城区
垂杨柳中心小学金都分校高部,小学,北京市,北京市,朝阳区
羊坊店第四小学,小学,北京市,北京市,海淀区
北京市第十八中学(嘉泰学校),小学,北京市,北京市,丰台区
北京市大兴区滨河小学,小学,北京市,北京市,大兴区
北京大兴第八小学,小学,北京市,北京市,大兴区
翠湖小学白水洼校区,小学,北京市,北京市,海淀区
北京光明小学本校区,小学,北京市,北京市,东城区
大兴区第三小学,小学,北京市,北京市,大兴区
北京市怀柔区实验小学,小学,北京市,北京市,怀柔区
和平里第四小学(和二校区),小学,北京市,北京市,东城区
东城区前门小学周转校,小学,北京市,北京市,朝阳区
金色摇篮全程实验学校,小学,北京市,北京市,朝阳区
北京第十五中学附属小学,小学,北京市,北京市,西城区
椿村街道市民学校,小学,北京市,北京市,西城区
朝阳区实验小学,小学,北京市,北京市,朝阳区
北京精诚实验小学国际部,小学,北京市,北京市,朝阳区
星河实验小学,小学,北京市,北京市,朝阳区
北京市海淀区台头小学,小学,北京市,北京市,海淀区
北京朝阳区兴隆小学,小学,北京市,北京市,朝阳区
北方工业大学附属学校小学部,小学,北京市,北京市,石景山区
中国传媒大学附属小学,小学,北京市,北京市,朝阳区
白家庄小学(朝外校区),小学,北京市,北京市,朝阳区
芳古园小学西校区,小学,北京市,北京市,丰台区
西板桥小学,小学,北京市,北京市,西城区
高碑店中心小学,小学,北京市,北京市,朝阳区
志成小学(南址),小学,北京市,北京市,西城区
育才学校小学部,小学,北京市,北京市,西城区
北京交通大学附属小学(北校区),小学,北京市,北京市,海淀区
枣园小学,小学,北京市,北京市,大兴区
中关村第二小学,小学,北京市,北京市,海淀区
黄村镇第二中心小学,小学,北京市,北京市,大兴区
三帆中学附属小学,小学,北京市,北京市,西城区
清华大学附属小学商务中心区实验小学,小学,北京市,北京市,朝阳区
临河里小学,小学,北京市,北京市,通州区
前沙涧小学,小学,北京市,北京市,海淀区
不老屯镇中心小学,小学,北京市,北京市,密云区
北京小学天宁寺分校(东区),小学,北京市,北京市,西城区
白纸坊小学(暂停营业),小学,北京市,北京市,西城区
北京市丰台区扶轮小学,小学,北京市,北京市,丰台区
西营完全小学,小学,北京市,北京市,房山区
育鹰小学东校区,小学,北京市,北京市,海淀区
海淀区第四实验小学,小学,北京市,北京市,海淀区
长沟镇中心小学,小学,北京市,北京市,房山区
北京市丰台区东罗园小学,小学,北京市,北京市,丰台区
西苑小学,小学,北京市,北京市,海淀区
芳草地国际学校民族校区,小学,北京市,北京市,朝阳区
海淀北部新区实验学校小学部,小学,北京市,北京市,海淀区
北京市第十三中学附属小学,小学,北京市,北京市,西城区
官庄小学,小学,北京市,北京市,朝阳区
安民学校,小学,北京市,北京市,朝阳区
石城镇中心小学,小学,北京市,北京市,密云区
北京市东城区黑芝麻胡同小学,小学,北京市,北京市,东城区
定安里小学-综合楼,小学,北京市,北京市,东城区
海淀区永泰小学,小学,北京市,北京市,海淀区
史家小学一年级部,小学,北京市,北京市,东城区
草厂小学,小学,北京市,北京市,通州区
小井小学,小学,北京市,北京市,丰台区
北京市西城区西什库小学,小学,北京市,北京市,西城区
炮厂小学,小学,北京市,北京市,石景山区
三帆中学附属小学-西城区裕中小学,小学,北京市,北京市,西城区
中国人民大学附属小学,小学,北京市,北京市,海淀区
南尚乐中心小学,小学,北京市,北京市,房山区
将台路小学,小学,北京市,北京市,朝阳区
中央商务区实验学校小学部,小学,北京市,北京市,朝阳区
朝阳区安民学校,小学,北京市,北京市,朝阳区
红英小学,小学,北京市,北京市,海淀区
永生小学,小学,北京市,北京市,东城区
培新小学第二校区,小学,北京市,北京市,东城区
培星小学(北校区),小学,北京市,北京市,海淀区
延庆区第一小学,小学,北京市,北京市,延庆区
九一小学东校区,小学,北京市,北京市,海淀区
北京市第八十中学枣营分校,小学,北京市,北京市,朝阳区
北京海淀区笫二实验学校,小学,北京市,北京市,海淀区
培智中心学校,小学,北京市,北京市,丰台区
宣武师范学校附属第一小学西区(右安门内大街),小学,北京市,北京市,西城区
北京市第八十中学康营分校,小学,北京市,北京市,朝阳区
西颐小学,小学,北京市,北京市,海淀区
北京市昌平区城北中心东关小学,小学,北京市,北京市,昌平区
梨园镇中心小学,小学,北京市,北京市,通州区
垂杨柳中心小学杨柳校区低部,小学,北京市,北京市,朝阳区
北京市大兴区第五小学,小学,北京市,北京市,大兴区
城南中心旧县小学,小学,北京市,北京市,昌平区
艺美小学教学楼,小学,北京市,北京市,东城区
灯市口小学北池子小学校区,小学,北京市,北京市,东城区
北京建筑大学附属小学,小学,北京市,北京市,西城区
北京邮电大学附属小学,小学,北京市,北京市,海淀区
垂杨柳中心小学金都分校,小学,北京市,北京市,朝阳区
育鸿学校小学部,小学,北京市,北京市,海淀区
花园村第二小学,小学,北京市,北京市,海淀区
八十中学枣营分校小学部,小学,北京市,北京市,朝阳区
文汇小学,小学,北京市,北京市,东城区
平谷区第五小学,小学,北京市,北京市,平谷区
东城区西总布小学,小学,北京市,北京市,东城区
白家庄小学(汇景苑校区),小学,北京市,北京市,朝阳区
南湖中园小学望花路校区,小学,北京市,北京市,朝阳区
朝阳外国语学校(来广营校区),小学,北京市,北京市,朝阳区
北京市广渠门中学附属小学,小学,北京市,北京市,东城区
龙海学校,小学,北京市,北京市,大兴区
北京第二实验小学广外分校,小学,北京市,北京市,西城区
北京市丰台区大红门第二小学,小学,北京市,北京市,丰台区
北京市西城外国语学校附属小学,小学,北京市,北京市,西城区
红英小学六里屯校区,小学,北京市,北京市,海淀区
北京市石景山区广宁村小学,小学,北京市,北京市,石景山区
阎村中心小学,小学,北京市,北京市,房山区
黑芝麻胡同小学(织染局校区),小学,北京市,北京市,东城区
永丰中心小学宏丰校区,小学,北京市,北京市,海淀区
中国农业大学附属实验小学,小学,北京市,北京市,海淀区
板桥中心小学,小学,北京市,北京市,顺义区
北京市西城区椿树馆小学,小学,北京市,北京市,西城区
丰体时代小学,小学,北京市,北京市,丰台区
北京第二实验小学德胜校区,小学,北京市,北京市,西城区
窦店镇望楚完全小学,小学,北京市,北京市,房山区
横桥小学,小学,北京市,北京市,昌平区
红英小学唐家岭校区,小学,北京市,北京市,海淀区
北京市第一零九中学小学实验部,小学,北京市,北京市,东城区
北京市西城区师范学校附属小学,小学,北京市,北京市,西城区
黄城根小学(育幼校区),小学,北京市,北京市,西城区
北京市大成学校小学部,小学,北京市,北京市,丰台区
丰台第五小学(万柳分校),小学,北京市,北京市,丰台区
首都师范大学附属小学,小学,北京市,北京市,海淀区
北京市大兴区第七小学,小学,北京市,北京市,大兴区
北京市朝阳区万子营民族小学,小学,北京市,北京市,朝阳区
丰台区第七小学校,小学,北京市,北京市,丰台区
呼家楼中心小学团结湖分校北校区,小学,北京市,北京市,朝阳区
北京市丰台区靛厂小学,小学,北京市,北京市,丰台区
北京市第一六六中学附属校尉胡同小学,小学,北京市,北京市,东城区
新源里-第四小学,小学,北京市,北京市,朝阳区
古城第二小学,小学,北京市,北京市,石景山区
三家店小学,小学,北京市,北京市,门头沟区
陈经纶中学帝景南校,小学,北京市,北京市,朝阳区
翠微小学西校区,小学,北京市,北京市,海淀区
万泉小学-音乐楼,小学,北京市,北京市,海淀区
万泉小学-科体楼,小学,北京市,北京市,海淀区
太师屯镇中心小学,小学,北京市,北京市,密云区
长安新城小学,小学,北京市,北京市,丰台区
史家小学低年级部,小学,北京市,北京市,东城区
北京十二中附属实验小学,小学,北京市,北京市,丰台区
打工子弟小学文华学校,小学,北京市,北京市,海淀区
回民小学,小学,北京市,北京市,西城区
南关小学,小学,北京市,北京市,通州区
西玉河小学-科技园小学,小学,北京市,北京市,海淀区
将台洼小学,小学,北京市,北京市,朝阳区
北京市通州区永顺镇中心小学,小学,北京市,北京市,通州区
北京市东城区革新里小学,小学,北京市,北京市,东城区
朝阳实验小学(北区),小学,北京市,北京市,朝阳区
四王府小学,小学,北京市,北京市,海淀区
北京航空航天大学附属小学,小学,北京市,北京市,海淀区
通州区永顺小学,小学,北京市,北京市,通州区
日坛小学四惠校区,小学,北京市,北京市,朝阳区
北京第二实验小学(白云路分校),小学,北京市,北京市,西城区
李遂小学,小学,北京市,北京市,顺义区
西罗园第五小学西校区,小学,北京市,北京市,丰台区
大兴区黄村镇一中心观音寺小学,小学,北京市,北京市,大兴区
京师附小,小学,北京市,北京市,西城区
北京市海淀区行知实验学校,小学,北京市,北京市,海淀区
张湾村小学,小学,北京市,北京市,通州区
北京市海淀区翠微小学(北校区),小学,北京市,北京市,海淀区
金顶街第二小学,小学,北京市,北京市,石景山区
昌平区沙河中心西沙屯小学,小学,北京市,北京市,昌平区
北京丰台二中附属实验小学,小学,北京市,北京市,丰台区
北京育翔小学德胜里校区,小学,北京市,北京市,西城区
北京市西城区什刹海小学,小学,北京市,北京市,西城区
海淀区实验小学(阜成路校区),小学,北京市,北京市,海淀区
北小营中心小学,小学,北京市,北京市,顺义区
北京市石景山区师范学校附属小学,小学,北京市,北京市,石景山区
西贯市回民小学,小学,北京市,北京市,昌平区
北京市朝阳区西直河小学,小学,北京市,北京市,朝阳区
垂杨柳中心小学(馨园分校),小学,北京市,北京市,朝阳区
垂杨柳中心小学(松榆校区),小学,北京市,北京市,朝阳区
丰台第八中学附属小学,小学,北京市,北京市,丰台区
北京实验学校海淀小学部,小学,北京市,北京市,海淀区
北京景山学校北校区小学部,小学,北京市,北京市,东城区
北京市京源学校(莲石湖分校),小学,北京市,北京市,石景山区
中关村第三小学(北校区),小学,北京市,北京市,海淀区
陈经纶中学分校实验小学部,小学,北京市,北京市,朝阳区
北锣鼓巷小学,小学,北京市,北京市,东城区
天堂河小学,小学,北京市,北京市,大兴区
北京市汇文第一小学,小学,北京市,北京市,东城区
红莲小学,小学,北京市,北京市,西城区
密云区季庄小学,小学,北京市,北京市,密云区
北京市朝阳区同心实验学校,小学,北京市,北京市,朝阳区
北京市西城区育翔小学阳光校区,小学,北京市,北京市,西城区
八里桥小学,小学,北京市,北京市,朝阳区
北京市第一七一中学附属青年湖小学,小学,北京市,北京市,东城区
京源学校小学部,小学,北京市,北京市,石景山区
府学胡同小学朝阳学校,小学,北京市,北京市,朝阳区
北京市劲松第四小学,小学,北京市,北京市,朝阳区
长哨营满族乡中心小学,小学,北京市,北京市,怀柔区
高家园小学,小学,北京市,北京市,朝阳区
中国科学院附属玉泉小学,小学,北京市,北京市,海淀区
白家疃小学,小学,北京市,北京市,海淀区
北京市第一实验小学广外校区,小学,北京市,北京市,西城区
芳草地国际学校,小学,北京市,北京市,朝阳区
中关村第一小学(天秀部),小学,北京市,北京市,海淀区
和平里第四小学东城区师范学校附属小学校区,小学,北京市,北京市,东城区
马驹桥镇大杜社小学,小学,北京市,北京市,通州区
北京师范大学京师附小三分校,小学,北京市,北京市,西城区
王各庄完全小学,小学,北京市,北京市,大兴区
朝阳外国语学校小学部,小学,北京市,北京市,朝阳区
北京理工大学附中小学部,小学,北京市,北京市,海淀区
酒仙桥中心小学驼房营部,小学,北京市,北京市,朝阳区
北京燕山羊耳峪小学,小学,北京市,北京市,房山区
北京石油附小,小学,北京市,北京市,海淀区
陈经纶中学嘉铭分校安园校区,小学,北京市,北京市,朝阳区
柏阳学校,小学,北京市,北京市,朝阳区
东城区汇文实验小学朝阳学校,小学,北京市,北京市,朝阳区
北京海淀区培星小学,小学,北京市,北京市,海淀区
康各庄小学,小学,北京市,北京市,密云区
